2025-03-20 17:06:28,365 - DEBUG - White tree: At FEN 'rnbqkb1r/pp3ppp/4pn2/3p4/2pP4/2PBPN2/PP3PPP/RNBQK2R w KQkq - 0 6', added move 'd3c2' -> 'rnbqkb1r/pp3ppp/4pn2/3p4/2pP4/2P1PN2/PPB2PPP/RNBQK2R b KQkq - 1 6'
2025-03-20 17:06:28,365 - DEBUG - White tree: At FEN 'rnbqkb1r/p4ppp/4pn2/1p1p4/2pP4/2P1PN2/PPB2PPP/RNBQK2R w KQkq - 0 7', added move 'b1d2' -> 'rnbqkb1r/p4ppp/4pn2/1p1p4/2pP4/2P1PN2/PPBN1PPP/R1BQK2R b KQkq - 1 7'
2025-03-20 17:06:28,365 - DEBUG - White tree: At FEN 'rnbqkb1r/5ppp/4pn2/pp1p4/2pP4/2P1PN2/PPBN1PPP/R1BQK2R w KQkq - 0 8', added move 'e1g1' -> 'rnbqkb1r/5ppp/4pn2/pp1p4/2pP4/2P1PN2/PPBN1PPP/R1BQ1RK1 b kq - 1 8'
2025-03-20 17:06:28,365 - DEBUG - White tree: At FEN 'rnbqkb1r/5ppp/4pn2/p2p4/1ppP4/2P1PN2/PPBN1PPP/R1BQ1RK1 w kq - 0 9', added move 'e3e4' -> 'rnbqkb1r/5ppp/4pn2/p2p4/1ppPP3/2P2N2/PPBN1PPP/R1BQ1RK1 b kq - 0 9'
2025-03-20 17:06:28,365 - DEBUG - White tree: At FEN 'rnbqkb1r/pp3ppp/4pn2/3p4/3p4/2PBPN2/PP3PPP/RNBQK2R w KQkq - 0 6', added move 'e3d4' -> 'rnbqkb1r/pp3ppp/4pn2/3p4/3P4/2PB1N2/PP3PPP/RNBQK2R b KQkq - 0 6'
2025-03-20 17:06:28,365 - DEBUG - White tree: At FEN 'rnbqk2r/ppp2ppp/3bpn2/3p4/3P4/3BPN2/PPP2PPP/RNBQK2R w KQkq - 2 5', added move 'b1d2' -> 'rnbqk2r/ppp2ppp/3bpn2/3p4/3P4/3BPN2/PPPN1PPP/R1BQK2R b KQkq - 3 5'
2025-03-20 17:06:28,365 - DEBUG - White tree: At FEN 'rnbq1rk1/ppp2ppp/3bpn2/3p4/3P4/3BPN2/PPPN1PPP/R1BQK2R w KQ - 4 6', added move 'e1g1' -> 'rnbq1rk1/ppp2ppp/3bpn2/3p4/3P4/3BPN2/PPPN1PPP/R1BQ1RK1 b - - 5 6'
2025-03-20 17:06:28,366 - DEBUG - White tree: At FEN 'rnbq1rk1/pp3ppp/3bpn2/2pp4/3P4/3BPN2/PPPN1PPP/R1BQ1RK1 w - - 0 7', added move 'c2c3' -> 'rnbq1rk1/pp3ppp/3bpn2/2pp4/3P4/2PBPN2/PP1N1PPP/R1BQ1RK1 b - - 0 7'
2025-03-20 17:06:28,366 - DEBUG - White tree: At FEN 'r1bq1rk1/pp3ppp/2nbpn2/2pp4/3P4/2PBPN2/PP1N1PPP/R1BQ1RK1 w - - 1 8', added move 'd4c5' -> 'r1bq1rk1/pp3ppp/2nbpn2/2Pp4/8/2PBPN2/PP1N1PPP/R1BQ1RK1 b - - 0 8'
2025-03-20 17:06:28,366 - DEBUG - White tree: At FEN 'r1bq1rk1/pp3ppp/2n1pn2/2bp4/8/2PBPN2/PP1N1PPP/R1BQ1RK1 w - - 0 9', added move 'e3e4' -> 'r1bq1rk1/pp3ppp/2n1pn2/2bp4/4P3/2PB1N2/PP1N1PPP/R1BQ1RK1 b - - 0 9'
2025-03-20 17:06:28,366 - DEBUG - White tree: At FEN 'r1bq1rk1/pp3ppp/2n1pn2/2b5/4p3/2PB1N2/PP1N1PPP/R1BQ1RK1 w - - 0 10', added move 'd2e4' -> 'r1bq1rk1/pp3ppp/2n1pn2/2b5/4N3/2PB1N2/PP3PPP/R1BQ1RK1 b - - 0 10'
2025-03-20 17:06:28,366 - DEBUG - White tree: At FEN 'r1bq1rk1/pp3ppp/2n1p3/2b5/4n3/2PB1N2/PP3PPP/R1BQ1RK1 w - - 0 11', added move 'd3e4' -> 'r1bq1rk1/pp3ppp/2n1p3/2b5/4B3/2P2N2/PP3PPP/R1BQ1RK1 b - - 0 11'
2025-03-20 17:06:28,366 - DEBUG - White tree: At FEN 'r1b2rk1/pp3ppp/2n1p3/2b5/4B3/2P2N2/PP3PPP/R1Bq1RK1 w - - 0 12', added move 'f1d1' -> 'r1b2rk1/pp3ppp/2n1p3/2b5/4B3/2P2N2/PP3PPP/R1BR2K1 b - - 0 12'
2025-03-20 17:06:28,366 - DEBUG - White tree: At FEN 'rnbq1rk1/pp3ppp/2pbpn2/3p4/3P4/3BPN2/PPPN1PPP/R1BQ1RK1 w - - 0 7', added move 'e3e4' -> 'rnbq1rk1/pp3ppp/2pbpn2/3p4/3PP3/3B1N2/PPPN1PPP/R1BQ1RK1 b - - 0 7'
